TransactionID,Timestamp,CustomerID,Name,Surname,Shipping_State
113255,2016-12-13 18:05:37,200000663,Leonard,Jackson,Delaware
113254,2016-12-13 18:05:22,200000661,Lucas,Abraham,Louisiana
113253,2016-12-13 18:03:57,200000662,Trevor,Skinner,Louisiana
113252,2016-12-13 18:01:45,100000007,Dorothy,Thomson,Alabama
113251,2016-12-13 18:01:22,400000180,Eric,Bower,New Hampshire
113250,2016-12-13 17:59:20,200000701,Joshua,Wilson,North Carolina
113249,2016-12-13 17:59:11,300000467,Angela,Morrison,Utah
113248,2016-12-13 17:58:07,400000706,Samantha,Mills,Alabama
113247,2016-12-13 17:57:50,100000061,Kylie,Howard,Minnesota
113246,2016-12-13 17:55:30,400000513,Amy,Wilkins,Minnesota
113245,2016-12-13 17:51:34,200000459,Charles,Brown,Arizona
113244,2016-12-13 17:48:55,200000482,Justin,Graham,Arizona
113243,2016-12-13 17:48:05,100000081,Joan,Buckland,Minnesota
113242,2016-12-13 17:46:18,200000821,Charles,Underwood,Texas
113241,2016-12-13 17:45:21,300000015,Madeleine,Marshall,Arizona
113240,2016-12-13 17:43:39,100000252,Nicholas,Lyman,North Carolina
113239,2016-12-13 17:42:54,300000822,Leonard,Fisher,Maine
113238,2016-12-13 17:42:42,300000815,Pippa,Robertson,Massachusetts
113237,2016-12-13 17:42:31,100000618,Andrew,Wright,Wyomin
113236,2016-12-13 17:42:25,100000051,Sophie,Wilkins,Washington
113235,2016-12-13 17:42:11,100000880,Rachel,Springer,North Dakota
113234,2016-12-13 17:40:07,100000898,Samantha,Ross,Montan
113233,2016-12-13 17:40:00,400000359,Gabrielle,MacDonald,Vermont
113232,2016-12-13 17:39:47,100000559,Grace,Mills,Massachusetts
113231,2016-12-13 17:38:30,100000878,Felicity,Metcalfe,Florida
113230,2016-12-13 17:36:34,100000013,Ryan,MacDonald,Delaware
113229,2016-12-13 17:35:12,100000569,Gabrielle,Skinner,Wyomin
113228,2016-12-13 17:34:14,300000852,Kevin,Parsons,Mississippi
113227,2016-12-13 17:33:45,100000158,Michael,Powell,North Carolina
113226,2016-12-13 17:33:24,300000023,Deirdre,McDonald,New York
113225,2016-12-13 17:33:09,100000923,Andrea,Henderson,Missouri
113224,2016-12-13 17:29:27,100000251,Fiona,Jones,South Dakota
113223,2016-12-13 17:28:01,400000557,Lisa,Buckland,Kentucky
113222,2016-12-13 17:27:42,300000614,Jennifer,Skinner,Georgia
113221,2016-12-13 17:26:26,100000477,Chloe,MacLeod,Wyomin
113220,2016-12-13 17:26:03,200000537,Rebecca,Simpson,Wyomin
113219,2016-12-13 17:25:38,100000567,Alison,James,Arizona
113218,2016-12-13 17:24:57,200000256,Julian,Peake,Connecticut
113217,2016-12-13 17:22:56,400000368,Olivia,Simpson,Vermont
113216,2016-12-13 17:20:59,100000521,Sonia,Vance,Vermont
113215,2016-12-13 17:20:34,200000493,Jacob,Forsyth,Arizona
113214,2016-12-13 17:20:00,100000173,Hannah,Thomson,Massachusetts
113213,2016-12-13 17:19:55,100000824,Heather,Davies,Massachusetts
113212,2016-12-13 17:18:45,100000344,Anna,Miller,South Dakota
113211,2016-12-13 17:17:26,100000760,Keith,Walker,Minnesota
113210,2016-12-13 17:17:24,100000542,Anne,Sharp,Illinoi
113209,2016-12-13 17:12:58,300000730,Nicola,Howard,Iowa
113208,2016-12-13 17:11:42,100000121,Ian,Slater,Alabama
113207,2016-12-13 17:10:42,100000051,Sophie,Wilkins,Washington
113206,2016-12-13 17:10:19,200000582,Rebecca,Clarkson,Mississippi
113205,2016-12-13 17:09:16,400000396,Fiona,Buckland,Mississippi
113204,2016-12-13 17:08:25,300000238,Dorothy,Miller,Alaska
113203,2016-12-13 17:08:04,100000236,Carol,Blake,Missouri
113202,2016-12-13 17:05:30,100000010,Dominic,Parr,North Dakota
113201,2016-12-13 17:04:47,100000341,Jasmine,Greene,New Mexico
113200,2016-12-13 17:03:16,100000564,Leonard,Paige,North Dakota
113199,2016-12-13 16:59:02,400000690,Bernadette,Duncan,Utah
113198,2016-12-13 16:59:00,200000387,Christian,Blake,Colorado
113197,2016-12-13 16:58:33,400000916,Matt,Grant,New Hampshire
113196,2016-12-13 16:57:23,100000931,Maria,Lawrence,Missouri
113195,2016-12-13 16:53:45,100000345,Benjamin,Ince,West Virginia
113194,2016-12-13 16:53:19,100000144,Sean,Bell,Ohio
113193,2016-12-13 16:52:36,300000495,Stephen,Poole,Indiana
113192,2016-12-13 16:52:34,100000169,Blake,Mills,Kentucky
113191,2016-12-13 16:51:25,300000702,Diane,Underwood,Maryland
